smiles,inchikey,group,fold
C[C@]1([C@@H]2[C@H]([C@@H]([C@@H]1O)O)C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)OC)O,HHDWDLBSGSYIQQ,1,train
CC(=O)NCCC1=CC(=C(C=C1)O)C2=C(C3=C(C(=C2O)O)C(=O)C4=CC(=C(C(=C4C3=O)C(=O)O)C(=O)O)O)O,IHLWXZNPOVMUFQ,10,val
C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N,YGPSJZOEDVAXAB,1,train
CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=C(O2)C3=C(C=C(C=C3)O)O)CC=C(C)C)C,UWQYBLOHTQWSQD,3,val
COC1=C(C(=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O)O,SMOFGXHPWCTYQD,1,test
COC1=C2C=COC2=CC3=C1C(=O)C=C(O3)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,SJRACCTZSAUMGO,6,test
CC1=CC(=O)C2=C(C3=C(C(=C2O1)OC)OC=C3)OC,HSMPDPBYAYSOBC,2,train
COC1=CC(=O)O[C@H](C1)/C=C/C2=CC=CC=C2,XEAQIWGXBXCYFX,1,train
C[C@@H]1[C@H](C[C@@H]([C@H](O1)OC2[C@@H]([C@H](C([C@@H]([C@@H]2O)O)O)O)O)N)N=C(C(=O)O)N,PVTHJAPFENJVNC,10,train
COC1=C(C(=C(C(=C1C(=O)/C=C/C2=CC=CC=C2)O)OC)OC)OC,LETBAZLAGJPEIM,3,train
C1=CC=C(C=C1)/C=C/C=C/C(=O)O,FEIQOMCWGDNMHM,2,train
COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC)O,XUWTZJRCCPNNJR,1,train
C1=CC=C(C=C1)CC(=O)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC(=O)CC3(C=CC(=O)C=C3)O)COC(=O)CC4(C=CC(=O)C=C4)O)O)O,AIFVFVGRWAMEBM,10,train
C1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2C3=C(C4=C(C=C3O)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,ACRIYYKEWCXQOS,1,train
COC1=C(C=CC(=C1)/C=C/C2=CC(=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,KLPUXMNQDCUPNO,1,train
CC1(C=CC2=C3C(=C(C=C2O1)OC)C(=O)C=C(O3)C4=CC=CC=C4)C,DPAGRPSAFDXQDN,2,train
COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC,DFMAXQKDIGCMTL,2,train
CC(=O)C1=C(C=C(C=C1)O)OC,XPHIPEXPAGCEBM,1,train
COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,VJJZJBUCDWKPLC,1,train
CC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)C,IGWDEVSBEKYORK,2,train
CC[C@H](C)/C=C(\C)/C=C/C1=CC2=C(C(=O)[C@](C(=O)C2=CN1CCO)(C)OC(=O)C)Cl,ZQLIAKJHIRHCFA,3,train
COC1=C(C=CC2=C1OC3=C(C2=O)C(=C(C(=C3)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,MTQVPZUZBBTLNO,2,train
COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)OCC4=CC=CC=C4,WSKWDXWDFFVUKX,10,train
COC1=CC(=CC(=C1OC)OC)C2=COC3=CC(=C(C(=C3C2=O)OC)OC)OC,NCEXCGUAXVAJMI,2,val
COC1=CC(=CC(=C1OC)O)C2=COC3=C(C2=O)C(=C(C(=C3)O)OC)O,TUGWPJJTQNLKCL,2,train
COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,LNQCUTNLHUQZLR,2,train
CC1=C(C(=C(C(=C1Cl)O)C/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O)C=O,MHWOMRMBQGSTFS,1,train
COC(=O)C1=COC(C(C1CC2CC(=O)CC(O2)CCC3=CC=C(C=C3)O)C=C)OC4C(C(C(C(O4)CO)O)O)O,GGNFGJZLCXTJLH,6,train
C1=CC(=C(C=C1CC/C=C/C(=O)CCC2=CC(=C(C=C2)O)O)O)O,VWHYFMQKJYFLCC,1,train
COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)OC)OC)OC,CHXSDKWBSFDZEU,1,train
COC1=CC2=C(C=C1)C=CC(=O)O2,LIIALPBMIOVAHH,1,train
CC(C)([C@@H](COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)O)O,FOINLJRVEBYARJ,2,train
C[C@H]1CCC[C@]2(C1=C[C@H]3[C@@H](C2)OC(=O)C3=C)C,PXOYOCNNSUAQNS,2,train
C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(C(=O)C[C@H]5[C@H]4CC[C@@H]6[C@@]5(CC[C@@H](C6)OC(=O)C)C)C)C)OC1,CVKZWRTYHCDWTE,4,test
C[C@@]1(C[C@H]([C@]2([C@@H]1[C@@H](OC=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)OC(=O)/C=C/C4=CC=CC=C4,KVRQGMOSZKPBNS,1,val
C[C@@H]1CC(=O)CC(=O)[C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl,YIQRSAKVWZVLDN,2,train
C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(C[C@@H]([C@@H]7C8=CC(=O)OC8)O)O)C)C)C)C)O)O,LKRDZKPBAOKJBT,1,train
C1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)C2=CC(=C(C(=C2)O)O)O)O)O)OC(=O)C3=CC(=C(C(=C3)O)O)O,IGKWMHUOBKCUQU,3,train
CC1=C2C(=CC=C1)OC(=O)C=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,DXBGTODWNFZHCD,3,train
CC1=C(C(=C(C(=C1Cl)OC2=C(C=C(C=C2OC)O)C(=O)OC)C(=O)O)O)Cl,MYFFDMMUGIQJQM,1,train
CC(=CCCC1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)OC45C(CCC=C4C3=O)C(O[C@@]5(C/C=C(\C)/C(=O)O)C(=O)O)(C)C)O)C)C,VDSCKSOYNLTQSY,2,train
CC1=C2C(=C(C(=C1Cl)O)Cl)OC3=C(C(=C(C=C3OC2=O)OC)C(=O)OC)C,RPHAAJGBADUATP,2,train
CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)O)CC=C(C)C)O)C,VEZXFTKZUMARDU,1,train
CC(=CCC[C@@]1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)O[C@@]45[C@H]6C[C@@H](C=C4C3=O)C(=O)[C@@]5(OC6(C)C)C/C=C(/C)\C(=O)O)O)C)C,GEZHEQNLKAOMCA,2,train
CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,HSWIRQIYASIOBE,1,train
CC1=C2C(=O)O[C@H]([C@@]2(CCC1)C)C3=COC=C3,XYYAFLHHHZVPRN,8,train
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,JMBINOWGIHWPJI,2,train
COC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,WJXSYUJKJSOJOG,1,train
CC(C)(C(COC1=C(C2=C(C=C1)C(=C3C=COC3=N2)OC)OC)O)O,FGANMDNHTVJAHL,2,train
CC1=CC(=CC(=C1C(=O)O)O)OC,QUCZMUVAQHIOID,1,train
C/C=C/C1=CC2=C(C=C1)OC(=C2C)C3=CC(=C(C=C3)O)OC,HMGCTPMQYVGXSC,4,train
COC1=C(C=C(C=C1)[C@H]2[C@@H]3CO[C@H]([C@@H]3CO2)C4=CC(=C(C=C4)OC)OC)OC,PEUUVVGQIVMSAW,1,train
CCOC(=O)CC1=C(C(=CC(=C1)O)O)C(=O)C,TURXCFUGBPBPRS,3,train
CCOC(=O)C1C2=CC=CC=C2NC(=O)C1=O,STEQTZOENAMHLZ,5,train
COC1=CC(=CC(=C1OC)OC)[C@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C(=C4)OC)OC)OC,HRLFUIXSXUASEX,2,train
CC(=O)O[C@@H]1CC2=C(C=C(C=C2OC(=O)C)OC(=O)C)O[C@@H]1C3=CC(=C(C=C3)OC(=O)C)OC(=O)C,BKYWAYNSDFXIPL,4,val
C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,LSHVYAFMTMFKBA,1,val
COC1=CC=C(C=C1)[C@@H]2[C@@H](CC3=C(O2)C=C(C=C3OC)OC)O,NMLBREXWQRPOJH,2,train
C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O,RSYUFYQTACJFML,1,train
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,FSBUXLDOLNLABB,1,train
COC1=C(C2=C(C[C@@H](CO2)C3=C(C(=C(C=C3)OC)OC)OC)C=C1)OC,AXXBADPZGFAAHF,2,test
COC1=C(C(=C(C=C1)[C@@H]2CC3=C(C(=C(C=C3)O)OC)OC2)OC)O,QVVPJFBYFYYVDM,2,val
COC1=CC=C(C=C1)C2=COC3=C(C(=C(C=C3C2=O)OC)O)O,BSXFDHHTXOAUGB,1,train
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,MBNGWHIJMBWFHU,1,val
COC(=O)C1C(C(C1C2=CC=C(C=C2)O)C(=O)OC)C3=CC=C(C=C3)O,OEWCQSJKSNWJTH,1,val
CC1(C=CC2=C(O1)C=CC(=C2OC)CC(=O)C3=C(C=C4C(=C3)CC(C(O4)(C)C)O)O)C,RMVZECFNOTWEKD,4,train
CC(=O)OC1CC2C(C(=O)CCC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C,ROWFSYNHZPRCKO,1,train
CC1=C2CC=C3[C@](C2=CC(=C1OC(=O)C)OC(=O)C)(CC[C@@]4([C@@]3(CC[C@@]5(C4C[C@](CC5)(C)C(=O)O)C)C)C)C,SAOOBRUHTPONGX,10,train
COC1=CC(=C(C(=C1)OC)C2=C(C=C(C=C2OC)OC)OC)OC,PKTVMNKLPFVXBH,8,test
CC1=CC(=C(C(=C1C(=O)O)O)C)OC(=O)C2=C(C(=C(C=C2C)OC)C)OC,MIJKZXWOOXIEEU,1,train
COC1=C2C=COC2=NC3=CC=CC=C31,WIONIXOBNMDJFJ,1,train
CC[C@H](C)[C@H]1C(=O)N([C@H](C(=O)N([C@H](C(=O)NCCC(=O)O[C@@H](C(=O)N2CCC[C@H]2C(=O)N1)CC=C)C)C)C(C)C)C,XIYSEKITPHTMJT,1,train
C1CCNC(=O)CCC(=O)N(CCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O,SXTGVXKFOVZYIK,3,test
COC1=CC(=O)OC(=C1)/C=C/C2=CC=CC=C2,DKKJNZYHGRUXBS,2,val
CC(=O)O[C@H]1C[C@H](C(C2[C@]1(C3CC[C@]4([C@@H](OC(=O)C5C4([C@@]3([C@@H](C2)O)C)O5)C(=O)OC)C)C)(C)C)OC(=O)C,HJESSLHNQMBHEX,2,train
COC1=CC2=C(C(=C1)OC)C(=C(C(=O)O2)C3=CC4=C(C=C3)OCO4)OC,PZYZNVLXKYMURF,4,val
COC1=CC2=C(C=C1)C(=O)C(CO2)CC3=CC(=C(C=C3)OC)OC,ZRSCGBGNKZDPOF,1,train
CC(=O)O[C@H]1C[C@H](C(C2[C@]1(C3CC[C@]4([C@@H](OC(=O)C=C4[C@@]3([C@@H](C2)OC(=O)C)C)C5=COC=C5)C)C)(C)C)OC(=O)C,SUQFMFHTLHMZNM,5,train
C1CCNC(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)NCC1)O)O,ABHHIGWFFMCQOC,1,train
COC1=CC2=C(C=C1)C3=C(O2)C4=C(C=C(C=C4)OC)OC3,FLEXCYTURSFUNC,2,train
CC(C)C1CC2=C(O1)C=CC3=C2OC4=C(C3=O)C5=CC(=C(C=C5OC4)OC)OC,BHCBWJBSVOKHRJ,1,train
C[C@H]1CCC/C=C/C(=O)C2=C(CC(=O)O1)C=C(C=C2O)O,AVIRMQMUBGNCKS,1,train
C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CCC(=O)C4)C)C,OHXPGWPVLFPUSM,1,test
CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2)(C)C(=O)N)C,AKKQGFKWEDCWJK,2,test
CC1(C=CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC)C,ORDAZKGHSNRHTD,1,train
C1CCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O,NHKCCADZVLTPPO,1,train
CC(C)CCCC1(C=CC2=C(C3=C(C(=C2O1)CCC(C)C)OC45C(C3=O)CC6CC4C(OC5(C6O)CCC(C)C(=O)O)(C)C)O)C,ZZGVJHSBRGZEML,3,train
COC1=CC(=O)C(=CC1=O)C(C=C)C2=CC=C(C=C2)O,DLCVFIMWFKVRTM,1,val
C1=CC=C(C=C1)CC/C=C/C(=O)CCC2=CC=CC=C2,UDNMYDZHPMNIEQ,2,train
C=C1C[C@@H]([C@@H]2[C@@H]([C@@H]3[C@H]1C[C@@H](C3=C)O)OC(=O)C2=C)OC(=O)C(=C)CO,KHSCYOFDKADJDJ,2,test
COC1=C(C=C2CC3=CC(=C(C=C3CC4=CC(=C(C=C4CC2=C1)OC)OC)OC)OC)OC,YECHEDVCXXVLIY,10,train
C[C@H]1CCCCCC(=O)C2=C(CC(=O)O1)C=C(C=C2O)O,VDUIGYAPSXCJFC,1,test
COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,VFLDPWHFBUODDF,1,train
C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,GVKKJJOMQCNPGB,2,train
C[C@]12CC[C@H]3C(=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)[C@@]1(CC[C@@H]2[C@](C)([C@@H](CCC(C)(C)O)O)O)O,NKDFYOWSKOHCCO,1,test
CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C3=CC(=C(C(=C3O2)CC=C(C)C)OC)O)C,CJBZJZGULKATPY,3,test
C1[C@H](O[C@H]([C@@H]1O)N2C=NC3=C(N=CN=C32)N)CO,OFEZSBMBBKLLBJ,1,train
CC(C)([C@@H]1CC2=C(O1)C=CC3=C2OC(=O)C=C3)O,YRAQEMCYCSSHJG,2,train
COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)OC,ZIIAJIWLQUVGHB,1,train
COC1=CC2=C(C(=C1)OC)C(=O)C=C(O2)C3=CC=CC=C3,JRFZSUMZAUHNSL,1,val
CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C,PESKGJQREUXSRR,1,train
C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)CC[C@]34C)C,XIWMRKFKSRYSIJ,1,val
CC(C1=C(C(=CC(=O)O1)OC)CO)C(C)O,BSXCHPRMOOSCRM,3,val
CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)O)C)C)C)C)O,KQJSQWZMSAGSHN,1,train
COC1=C(C=C(C(=C1)O)C(=O)C2=CC=CC=C2)O,NFJVELXCUBWAFL,1,train
COC1=C(C=C(C=C1)[C@@H]2[C@H](CC3=C(O2)C=C(C=C3OC)OC)O)OC,GKPNPQODFXMCGO,2,train
C1=CO[C@H]([C@H]2[C@@H]1[C@@H]([C@H]3[C@@]2(O3)CO)OC(=O)C4=CC=C(C=C4)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O,UXSACQOOWZMGSE,1,train
CC1=C(C(CCC1=O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)CCC2(C)C)C)\C)\C)/C)/C,FDSDTBUPSURDBL,2,train
C[C@@]12[C@H]3CC[C@@H]([C@@]1(C(=O)OC2=O)C)O3,DHZBEENLJMYSHQ,5,train
CC(=CCC1=C2C(=C(C=C1OC)OC)C(=O)C[C@H](O2)C3=CC=CC=C3)C,JYESOAFLKFHYHP,2,train
C(CON=C(N)N)[C@@H](C(=O)O)N,FSBIGDSBMBYOPN,4,train
CC(=CCC1=CC2=C(C=C1O)OC[C@@H]3[C@H]2OC4=C3C=CC(=C4)O)C,CYXCYFYWIZXENQ,3,train
C1=CC(=C(C=C1CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O)O)O)O,UHIGZYLCYRQESL,2,train
CC(C)/C(=C/1\C2[C@]([C@@H](OC1=O)C3=COC=C3)(C([C@H]([C@@]45[C@]26[C@@H]([C@]7(C(C8(CC7([C@]4([C@H]8CC(=O)OC)C)OC(O5)(O6)C)C)OC(=O)C(C)C)O)OC(=O)C)OC(=O)C)OC(=O)C)C)/O,KVAGRMDUXLYLAZ,10,train
CC(=O)C1=CC=C(C=C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)O)O)O,YQOKGDRMWQLQNR,2,train
C1=C(C=C(C(=C1O)O)O)/C=C\2/C(=O)C3=C(C=C(C=C3O2)O)O,ACAAVKGSTVOIQB,2,train
CCC(CC1CCC(O1)C(C)C(=O)OC(C)CC2CCC(O2)C(C)C(=O)O)O,JZCRGJSEBZCNAR,1,train
CC(=O)NCCCCCNC(=O)C,FQKKPLXFGDCBJT,3,train
CCCCCC/C=C\CCCCCCCC1=CC(=CC(=C1)O)O,TUGAUFMQYWZJAB,1,train
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)CO,FVWJYYTZTCVBKE,1,val
C1=C(C=C(C(=C1O)O)O)C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O,QJYNZEYHSMRWBK,8,test
COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@@H](CC4=C(C5=C(C=C24)OCO5)O)COC3=O,HLBPOYVRLSXWJJ,1,train
CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@@H]6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC,DFOCUWZXJBAUSQ,1,train
CC(=CCC1=CC2=C(C=C1OC)O[C@@H](CC2=O)C3=CC=C(C=C3)O)C,VOCGSQHKPZSIKB,1,train
CCCCCCCCCCCCCCCCCCOCC(CO)O,OGBUMNBNEWYMNJ,2,train
C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C,FTNJWQUOZFUQQJ,10,train
CC(=O)OCC(CC(CCCCCCCCCCCC#C)O)O,JAKAZHIACKJNNB,2,train
C#CCCCCCCCCCCCC(CC(CO)O)O,OHLQBKZXSJYBMK,1,train
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H](O4)CO)O)O)O)O,BDCDNTVZSILEOY,1,train
C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,RJWJHRPNHPHBRN,3,train
CC(=CCC1=C2C(=C(C(=C1O)CC=C(C)C)O)C(=O)C3=C(N2)C(=CC=C3)O)C,GLXYKTASIIUSRC,2,train
CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,IBIPGYWNOBGEMH,2,train
C1=CC=C(C=C1)CC2=CC(=O)C(=CN2)C(=O)N,RUUZDCZRFRLJFC,6,train
COC1=CC(=CC(=C1OC)OC)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC5=C(C=C4)OCO5,ONDWGDNAFRAXCN,2,train
CC(=O)N(CCCCCNC(=O)CC(CC(=O)NCCCCCN(C(=O)C)O)(C(=O)O)O)O,BPEXJHGGARTCIR,3,train
C[C@@H]1C[C@@H]2[C@@H]([C@@H](C(=O)O2)C)[C@@H]([C@]3([C@H]1C=CC3=O)C)OC(=O)C(=C)C,NZESEVTYUVXOTC,1,test
COC1=C(C=C(C=C1)C[C@H]2COC(=O)[C@@H]2CC3=CC(=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC)OC,XOJVHLIYNSOZOO,1,train
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,JBFOLLJCGUCDQP,1,train
COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC)O,LZERJKGWTQYMBB,1,train
CC(=O)OC1CC2(C(CC3C2(O3)C4(C1C5(C=CC(=O)C(C5=C(C4=O)O)(C)C)C)C)C6=COC=C6)C,AJTULIWKBMDPCJ,10,train
CC(=CC(C/C(=C/COC1=CC2=C(C=C1)C=CC(=O)O2)/C)O)C,VNADFOGBKXRWGC,1,test
COC1=CC2=C(C=C1)C(=O)C(=CO2)CC(=O)O,KVQVEJPIQHNLTM,5,train
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@H]([C@H](CO4)O)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,XPLMUADTACCMDJ,1,val
CC1=C(C(=C(C(=C1O)C(=O)CCC2=CC=CC=C2)OC)C)O,HBRYKWADRULLHU,3,train
C[C@H](C1=CC=C(C=C1)OC)C(=O)C2=C(C=C(C=C2)O)O,CCOJFDRSZSSKOG,1,train
C/C=C(/C)\C(=O)OC1=C2C(=CC(=C1OC)OC)C[C@@H]([C@@](CC3=CC(=C(C(=C32)OC)OC)OC)(C)O)C,ZSAUXCVJDYCLRS,6,train
C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)C=C[C@]34C,LUJVUUWNAPIQQI,1,val
C1[C@@]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC=C(C4=O)C5=CC=C(C=C5)O)O)O)O)O)O)(CO)O,UXJMURXRQMFKJC,2,train
CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C,ZAKOWWREFLAJOT,4,train
CC1=CC(=C(C2=C1C(=O)C=C(O2)CC(=O)C)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,HKIKAXXIWJHWLY,5,train
CC1=CC(=CC(=C1C2=CC(=CC(=O)O2)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,KFJNVVJUICKJEQ,10,train
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,RGCKGOZRHPZPFP,1,train
C(CCCC(C(CCCCCCO)O)O)CCCC(=O)O,MEHUJCGAYMDLEL,2,train
C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2COC(=O)C3=CC=C(C=C3)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,GLACGTLACKLUJX,1,train
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CCC4=O)C,RZRPTBIGEANTGU,1,train
CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1CO,XJLATMLVMSFZBN,10,train
CC(=CCCC1(C=CC2=C(O1)C(=C3C(=C2OC(=O)C)C(=O)C4=C[C@@H]5CC6[C@@]4(O3)C(C5=O)(OC6(C)C)C/C=C(\C)/C(=O)O)CC=C(C)C)C)C,REDMIYQFNIRTDF,4,train
C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO,XUFXOAAUWZOOIT,10,train
CC1=CC(=O)CC(C1(/C=C/C(=C\C(=O)O)/C)O)(C)C,JLIDBLDQVAYHNE,1,train
COC1=C(C(=C2C(=C1)CC(CO2)C3=CC(=O)C(=C(C3=O)OC)OC)OC)OC,TZOHVRDKXUMVIU,6,train
CC(C)CC(=O)OC1C(OC2=C1C3=C(C=C2)C=CC(=O)O3)C(C)(C)OC(=O)CC(C)C,KPLBOWKEQXYXSD,3,train
CC(=CC(=O)OC1C(C(OC2=C1C3=C(C=C2)C=CC(=O)O3)(C)C)OC(=O)C=C(C)C)C,UHWIZIJICYWABA,1,train
CC(C)CC(=O)OC1C(C2=C(C=CC3=C2OC(=O)C=C3)OC1(C)C)OC(=O)C=C(C)C,MYXNOIIPXWBFFR,1,train
COC1=C(C=CC(=C1)/C=C/C(=O)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O,XMBZZLUIFFOAHR,2,train
